	sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
0	Yes, lovely creature, is n't she?	is	5			she	7	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'she'}	PRON	is	5	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Fem'}	VERB	-2	[]	"{'sent_id': 'en_lines-ud-dev-doc6-3938', 'text': ""Yes, lovely creature, isn't she?"", 'treebank': 'UD_English-LinES/en_lines-ud-dev.conllu'}"	am	3 -> 1	Yes, lovely creature,	Yes, lovely creature, am n't she?	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-12.084771156311035, -14.6018705368042, -6.641750335693359, -2.6751089096069336, -11.468113899230957, -12.856348037719727, -8.144233703613281, -11.491629600524902, -4.112733840942383, -12.7538423538208]	[-12.084771156311035, -14.6018705368042, -6.641750335693359, -2.6751089096069336, -11.468113899230957, -12.774856567382812, -9.830950736999512, -13.034647941589355, -4.698648452758789, -12.746667861938477]	96.83040618896484	100.55738067626953	3.7269744873046875
1	There is no easy answer to the painful issue of abortion.	is	1			answer	4	{'Number': 'Sing', 'lemma': 'answer'}	NOUN	is	1	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'sent_id': 'en_lines-ud-test-doc5-4814', 'text': 'There is no easy answer to the painful issue of abortion.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	am	3 -> 1	There	There am no easy answer to the painful issue of abortion.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-2.0647172927856445, -0.8751468658447266, -5.289800643920898, -6.335566520690918, -1.6846323013305664, -2.6692395210266113, -7.528928756713867, -3.992612361907959, -5.072534084320068, -2.217318534851074, -7.63597297668457, -3.7357892990112305, -0.4092521667480469, -12.940215110778809]	[-8.64608097076416, -2.4788880348205566, -6.134230613708496, -6.253937244415283, -1.3037548065185547, -3.419839859008789, -7.404385566711426, -4.085696220397949, -4.82857608795166, -1.3172311782836914, -8.251131057739258, -3.7133121490478516, -0.2686166763305664, -13.138324737548828]	62.451725006103516	71.24400329589844	8.792278289794922
2	Right up to a week after my birth he continued to say, 'How is he?'	is	15			he	16	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'he'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Masc'}	AUX	-1	[]	"{'sent_id': 'en_lines-ud-train-doc8-2912', 'text': ""Right up to a week after my birth he continued to say, 'How is he?'"", 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}"	am	3 -> 1	Right up to a week after my birth he continued to say, 'How	Right up to a week after my birth he continued to say, 'How am he?'	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-4.62860631942749, -1.786616325378418, -3.1506409645080566, -4.882880210876465, -5.021224498748779, -4.561265468597412, -5.179352760314941, -9.751681327819824, -9.018791198730469, -0.33200550079345703, -1.4770278930664062, -4.780647277832031, -14.257896423339844, -8.414546966552734, -12.141277313232422, -4.719572067260742, -1.7647991180419922, -11.600835800170898, -8.485954284667969]	[-4.62860631942749, -1.786616325378418, -3.1506409645080566, -4.882880210876465, -5.021224498748779, -4.561265468597412, -5.179352760314941, -9.751681327819824, -9.018791198730469, -0.33200550079345703, -1.4770278930664062, -4.780647277832031, -14.257896423339844, -8.414546966552734, -12.141277313232422, -4.711310386657715, -9.826899528503418, -10.389480590820312, -8.73011589050293]	115.95562744140625	123.04227447509766	7.086647033691406
3	This is whale meat that I photographed in a grocery store in Tokyo - or is it?	is	15			it	16	{'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'it'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-1	[]	{'sent_id': 'en_partut-ud-855', 'text': 'This is whale meat that I photographed in a grocery store in Tokyo - or is it?', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu'}	am	3 -> 1	This is whale meat that I photographed in a grocery store in Tokyo - or	This is whale meat that I photographed in a grocery store in Tokyo - or am it?	[]	[]	0	0	0	False	False	False	0.0357142857142857	SV-P	eng	3	1	VS	verb	+	[-0.9340648651123047, -9.453826904296875, -4.932243347167969, -0.8029422760009766, -5.049015045166016, -3.996431350708008, -2.4727182388305664, -7.487242221832275, -0.12569046020507812, -0.006031036376953125, -0.6837892532348633, -1.8842573165893555, -3.4600305557250977, -5.077675819396973, -2.8630781173706055, -0.32927989959716797, -0.1893148422241211, -0.011995315551757812, -3.0677266120910645, -3.2590789794921875, -2.495077133178711, -0.0036563873291015625, -0.001125335693359375, -7.311173915863037, -9.084429740905762, -7.563960075378418, -4.222463130950928, -12.449028968811035]	[-0.9340648651123047, -9.453826904296875, -4.932243347167969, -0.8029422760009766, -5.049015045166016, -3.996431350708008, -2.4727182388305664, -7.487242221832275, -0.12569046020507812, -0.006031036376953125, -0.6837892532348633, -1.8842573165893555, -3.4600305557250977, -5.077675819396973, -2.8630781173706055, -0.32927989959716797, -0.1893148422241211, -0.011995315551757812, -3.0677266120910645, -3.2590789794921875, -2.495077133178711, -0.0036563873291015625, -0.001125335693359375, -7.311173915863037, -9.084429740905762, -7.145606517791748, -12.172521591186523, -13.517824172973633]	99.21734619140625	107.8178482055664	8.600502014160156
4	Among them is the former cloister from the abbey church of St. Peter and Paul.	is	2			cloister	5	{'Number': 'Sing', 'lemma': 'cloister'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'newdoc id': 'w02004', 'sent_id': 'w02004008', 'text': 'Among them is the former cloister from the abbey church of St. Peter and Paul.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	am	3 -> 1	Among them	Among them am the former cloister from the abbey church of St. Peter and Paul.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-6.390127182006836, -3.2137746810913086, -6.634870529174805, -2.827402114868164, -6.661550998687744, -0.6816434860229492, -7.086186408996582, -6.681536674499512, -7.993711471557617, -6.119467735290527, -0.4292945861816406, -8.827675819396973, -4.359346389770508, -4.033156394958496, -9.09265422821045, -1.829899787902832, -3.842881679534912, -5.847283840179443, -2.692990303039551, -1.7530345916748047, -2.317852020263672, -6.7626729011535645, -4.148199558258057, -3.1699256896972656, -4.656079292297363]	[-6.390127182006836, -3.2137746810913086, -7.605112075805664, -9.419448852539062, -7.753048419952393, -0.3132133483886719, -6.761815071105957, -5.633271217346191, -8.96005630493164, -6.239883899688721, -0.6022396087646484, -8.910853385925293, -4.358744144439697, -4.187257289886475, -9.52415657043457, -1.4897308349609375, -4.988419532775879, -5.111091613769531, -3.0657577514648438, -1.6467151641845703, -2.1731767654418945, -7.17152214050293, -3.7977428436279297, -3.0973243713378906, -4.690343856811523]	118.05322265625	127.10484313964844	9.051620483398438
5	how much is a flight from washington to montreal	is	2			flight	4	{'Number': 'Sing', 'lemma': 'flight'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	-2	[]	{'sent_id': '2932.train', 'text': 'how much is a flight from washington to montreal', 'treebank': 'UD_English-Atis/en_atis-ud-train.conllu'}	'm	3 -> 1	how much	how much 'm a flight from washington to montreal	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-6.465041160583496, -3.654183864593506, -3.4708476066589355, -8.917724609375, -7.644495010375977, -10.912683486938477, -0.6831254959106445, -11.89984130859375, -3.2891039848327637, -8.66600513458252, -5.631134033203125, -6.259179592132568, -3.042377471923828]	[-6.465041160583496, -12.412449836730957, -10.785362243652344, -8.970325469970703, -8.56186294555664, -4.1380462646484375, -10.541056632995605, -1.604844093322754, -10.018441200256348, -2.7313079833984375, -8.807300567626953, -6.5287652015686035, -6.2901105880737305, -4.563549041748047]	80.5357437133789	102.41844940185547	21.882705688476562
6	Among them is the former cloister from the abbey church of St. Peter and Paul.	is	2			cloister	5	{'Number': 'Sing', 'lemma': 'cloister'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'newdoc id': 'w02004', 'sent_id': 'w02004008', 'text': 'Among them is the former cloister from the abbey church of St. Peter and Paul.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	'm	3 -> 1	Among them	Among them 'm the former cloister from the abbey church of St. Peter and Paul.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-6.390127182006836, -3.2137746810913086, -6.634870529174805, -2.827402114868164, -6.661550998687744, -0.6816434860229492, -7.086186408996582, -6.681536674499512, -7.993711471557617, -6.119467735290527, -0.4292945861816406, -8.827675819396973, -4.359346389770508, -4.033156394958496, -9.09265422821045, -1.829899787902832, -3.842881679534912, -5.847283840179443, -2.692990303039551, -1.7530345916748047, -2.317852020263672, -6.7626729011535645, -4.148199558258057, -3.1699256896972656, -4.656079292297363]	[-6.390127182006836, -3.2137746810913086, -7.955568313598633, -9.238198280334473, -11.078347206115723, -6.199367523193359, -1.030797004699707, -6.864230632781982, -5.915143013000488, -8.956755638122559, -5.512590408325195, -0.5635824203491211, -9.178505897521973, -4.866631507873535, -3.245276927947998, -9.655363082885742, -1.835282325744629, -4.973363399505615, -5.7283477783203125, -2.039740562438965, -1.4226722717285156, -2.6621437072753906, -7.053017616271973, -3.3177199363708496, -3.607868194580078, -5.40793514251709]	118.05322265625	137.912353515625	19.859130859375
7	Right up to a week after my birth he continued to say, 'How is he?'	is	15			he	16	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'he'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Masc'}	AUX	-1	[]	"{'sent_id': 'en_lines-ud-train-doc8-2912', 'text': ""Right up to a week after my birth he continued to say, 'How is he?'"", 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}"	'm	3 -> 1	Right up to a week after my birth he continued to say, 'How	Right up to a week after my birth he continued to say, 'How 'm he?'	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-4.62860631942749, -1.786616325378418, -3.1506409645080566, -4.882880210876465, -5.021224498748779, -4.561265468597412, -5.179352760314941, -9.751681327819824, -9.018791198730469, -0.33200550079345703, -1.4770278930664062, -4.780647277832031, -14.257896423339844, -8.414546966552734, -12.141277313232422, -4.719572067260742, -1.7647991180419922, -11.600835800170898, -8.485954284667969]	[-4.62860631942749, -1.786616325378418, -3.1506409645080566, -4.882880210876465, -5.021224498748779, -4.561265468597412, -5.179352760314941, -9.751681327819824, -9.018791198730469, -0.33200550079345703, -1.4770278930664062, -4.780647277832031, -14.257896423339844, -8.414546966552734, -12.141277313232422, -5.354076385498047, -9.5246000289917, -9.5400390625, -10.70242977142334, -7.99803352355957]	115.95562744140625	132.50364685058594	16.548019409179688
8	There is no easy answer to the painful issue of abortion.	is	1			answer	4	{'Number': 'Sing', 'lemma': 'answer'}	NOUN	is	1	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'sent_id': 'en_lines-ud-test-doc5-4814', 'text': 'There is no easy answer to the painful issue of abortion.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	'm	3 -> 1	There	There 'm no easy answer to the painful issue of abortion.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-2.0647192001342773, -0.8751449584960938, -5.289799690246582, -6.335565567016602, -1.6846351623535156, -2.6692419052124023, -7.528929710388184, -3.992614269256592, -5.072535037994385, -2.217320442199707, -7.6359710693359375, -3.7357892990112305, -0.4092531204223633, -12.94021224975586]	[-8.916862487792969, -7.926244735717773, -6.9171037673950195, -6.3440656661987305, -5.509859085083008, -0.826298713684082, -2.9519309997558594, -7.0945587158203125, -4.644806861877441, -4.5424370765686035, -1.7310523986816406, -8.279656410217285, -3.206501007080078, -0.4698143005371094, -13.138466835021973]	62.45173263549805	82.49966430664062	20.047931671142578
9	how much is a flight from washington to boston	is	2			flight	4	{'Number': 'Sing', 'lemma': 'flight'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	-2	[]	{'sent_id': '2930.train', 'text': 'how much is a flight from washington to boston', 'treebank': 'UD_English-Atis/en_atis-ud-train.conllu'}	'm	3 -> 1	how much	how much 'm a flight from washington to boston	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-6.465044975280762, -3.654181480407715, -3.4708480834960938, -8.917722702026367, -7.644494533538818, -10.912680625915527, -0.6831245422363281, -11.899839401245117, -3.2891030311584473, -7.861217975616455, -10.02549934387207, -6.019684314727783]	[-6.465044975280762, -12.412447929382324, -10.785361289978027, -8.970325469970703, -8.561861991882324, -4.138049602508545, -10.541058540344238, -1.604842185974121, -10.018445014953613, -2.731308937072754, -7.503336429595947, -10.67291259765625, -6.008275032043457]	80.84344482421875	100.41326904296875	19.56982421875
