	sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
0	Yes, lovely creature, is n't she?	is	5			she	7	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'she'}	PRON	is	5	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Fem'}	VERB	-2	[]	"{'sent_id': 'en_lines-ud-dev-doc6-3938', 'text': ""Yes, lovely creature, isn't she?"", 'treebank': 'UD_English-LinES/en_lines-ud-dev.conllu'}"	am	3 -> 1	Yes, lovely creature,	Yes, lovely creature, am n't she?	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-14.172430038452148, -13.78866195678711, -11.274850845336914, -13.239431381225586, -14.139846801757812, -10.361050605773926, -13.013904571533203, -8.927094459533691, -10.229619979858398]	[-14.172430038452148, -13.78866195678711, -11.274850845336914, -13.239431381225586, -11.753671646118164, -10.192710876464844, -12.885977745056152, -9.841108322143555, -9.494421005249023]	109.14689636230469	106.64326477050781	-2.503631591796875
1	There is no easy answer to the painful issue of abortion.	is	1			answer	4	{'Number': 'Sing', 'lemma': 'answer'}	NOUN	is	1	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'sent_id': 'en_lines-ud-test-doc5-4814', 'text': 'There is no easy answer to the painful issue of abortion.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	am	3 -> 1	There	There am no easy answer to the painful issue of abortion.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-2.118350028991699, -0.4522562026977539, -7.612255573272705, -4.259232521057129, -0.9054155349731445, -2.3530454635620117, -12.746153831481934, -3.4189958572387695, -0.6866521835327148, -10.114826202392578, -12.547213554382324]	[-10.165325164794922, -0.8366451263427734, -7.922933578491211, -4.130253791809082, -1.6686887741088867, -2.5923261642456055, -12.848411560058594, -4.030154228210449, -0.631072998046875, -9.802074432373047, -12.082517623901367]	57.214393615722656	66.71041107177734	9.496017456054688
2	Right up to a week after my birth he continued to say, 'How is he?'	is	15			he	16	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'he'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Masc'}	AUX	-1	[]	"{'sent_id': 'en_lines-ud-train-doc8-2912', 'text': ""Right up to a week after my birth he continued to say, 'How is he?'"", 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}"	am	3 -> 1	Right up to a week after my birth he continued to say, 'How	Right up to a week after my birth he continued to say, 'How am he?'	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-6.646027565002441, -1.6647844314575195, -4.2517499923706055, -7.74623966217041, -4.4250898361206055, -4.6040754318237305, -6.194138050079346, -8.627376556396484, -11.048337936401367, -1.030954360961914, -5.921329498291016, -14.169412612915039, -11.735208511352539, -10.03978157043457, -7.283841609954834, -3.115499496459961, -12.44637393951416, -11.082275390625]	[-6.646027565002441, -1.6647844314575195, -4.2517499923706055, -7.74623966217041, -4.4250898361206055, -4.6040754318237305, -6.194138050079346, -8.627376556396484, -11.048337936401367, -1.030954360961914, -5.921329498291016, -14.169412612915039, -11.735208511352539, -10.03978157043457, -6.332257270812988, -7.31547737121582, -10.647006034851074, -11.29927921295166]	132.03250122070312	133.6985321044922	1.6660308837890625
3	This is whale meat that I photographed in a grocery store in Tokyo - or is it?	is	15			it	16	{'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'it'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-1	[]	{'sent_id': 'en_partut-ud-855', 'text': 'This is whale meat that I photographed in a grocery store in Tokyo - or is it?', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu'}	am	3 -> 1	This is whale meat that I photographed in a grocery store in Tokyo - or	This is whale meat that I photographed in a grocery store in Tokyo - or am it?	[]	[]	0	0	0	False	False	False	0.0357142857142857	SV-P	eng	3	1	VS	verb	+	[-1.0983600616455078, -12.218118667602539, -9.765182495117188, -3.273141860961914, -2.9276742935180664, -5.134789943695068, -1.836496353149414, -2.594259262084961, -8.82209587097168, -0.42437171936035156, -1.5123872756958008, -6.385033130645752, -11.081052780151367, -8.987361907958984, -7.221582412719727, -2.9565677642822266, -16.48269271850586]	[-1.0983600616455078, -12.218118667602539, -9.765182495117188, -3.273141860961914, -2.9276742935180664, -5.134789943695068, -1.836496353149414, -2.594259262084961, -8.82209587097168, -0.42437171936035156, -1.5123872756958008, -6.385033130645752, -11.081052780151367, -8.987361907958984, -8.398037910461426, -5.138947010040283, -15.905196189880371]	102.72117614746094	105.50251007080078	2.7813339233398438
4	Among them is the former cloister from the abbey church of St. Peter and Paul.	is	2			cloister	5	{'Number': 'Sing', 'lemma': 'cloister'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'newdoc id': 'w02004', 'sent_id': 'w02004008', 'text': 'Among them is the former cloister from the abbey church of St. Peter and Paul.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	am	3 -> 1	Among them	Among them am the former cloister from the abbey church of St. Peter and Paul.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-4.030279159545898, -5.390756130218506, -3.001023292541504, -5.741406440734863, -13.771799087524414, -6.3123393058776855, -9.19975471496582, -0.935302734375, -8.733469009399414, -3.8063058853149414, -15.251042366027832, -5.993706226348877, -5.587859153747559, -3.653554916381836, -4.726324081420898, -5.464478492736816, -8.166646957397461, -3.9938106536865234]	[-4.030279159545898, -10.703723907470703, -4.0121965408325195, -5.900264739990234, -13.275309562683105, -6.111042499542236, -10.050593376159668, -1.0313034057617188, -8.524725914001465, -3.686741828918457, -14.235113143920898, -5.799452304840088, -5.690987586975098, -3.5347061157226562, -4.806780815124512, -5.563070297241211, -8.318161964416504, -3.984980583190918]	113.7598648071289	119.25944519042969	5.499580383300781
5	how much is a flight from washington to montreal	is	2			flight	4	{'Number': 'Sing', 'lemma': 'flight'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	-2	[]	{'sent_id': '2932.train', 'text': 'how much is a flight from washington to montreal', 'treebank': 'UD_English-Atis/en_atis-ud-train.conllu'}	'm	3 -> 1	how much	how much 'm a flight from washington to montreal	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-5.8129754066467285, -4.881357669830322, -4.428006649017334, -9.23902702331543, -4.888302326202393, -13.721141815185547, -15.778375625610352, -5.024340629577637, -11.828760147094727, -12.5014009475708, -9.085430145263672]	[-5.8129754066467285, -10.175481796264648, -7.608574867248535, -7.7048163414001465, -8.710527420043945, -4.866153717041016, -14.145286560058594, -14.827520370483398, -5.723328590393066, -11.544236183166504, -12.730389595031738, -8.779204368591309]	97.18911743164062	112.62849426269531	15.439376831054688
6	Among them is the former cloister from the abbey church of St. Peter and Paul.	is	2			cloister	5	{'Number': 'Sing', 'lemma': 'cloister'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'newdoc id': 'w02004', 'sent_id': 'w02004008', 'text': 'Among them is the former cloister from the abbey church of St. Peter and Paul.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	'm	3 -> 1	Among them	Among them 'm the former cloister from the abbey church of St. Peter and Paul.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-4.030279159545898, -5.390756130218506, -3.001023292541504, -5.741406440734863, -13.771799087524414, -6.3123393058776855, -9.19975471496582, -0.935302734375, -8.733469009399414, -3.8063058853149414, -15.251042366027832, -5.993706226348877, -5.587859153747559, -3.653554916381836, -4.726324081420898, -5.464478492736816, -8.166646957397461, -3.9938106536865234]	[-4.030279159545898, -9.563653945922852, -10.229459762573242, -8.303386688232422, -5.57945442199707, -13.355399131774902, -6.139518737792969, -9.735742568969727, -0.9764518737792969, -8.413341522216797, -3.4993896484375, -14.437583923339844, -5.613829135894775, -6.233236789703369, -3.977524757385254, -4.58740234375, -5.65305233001709, -8.567680358886719, -5.185340404510498]	113.7598648071289	134.08172607421875	20.321861267089844
7	Right up to a week after my birth he continued to say, 'How is he?'	is	15			he	16	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'he'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Masc'}	AUX	-1	[]	"{'sent_id': 'en_lines-ud-train-doc8-2912', 'text': ""Right up to a week after my birth he continued to say, 'How is he?'"", 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}"	'm	3 -> 1	Right up to a week after my birth he continued to say, 'How	Right up to a week after my birth he continued to say, 'How 'm he?'	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-6.646027565002441, -1.6647844314575195, -4.2517499923706055, -7.74623966217041, -4.4250898361206055, -4.6040754318237305, -6.194138050079346, -8.627376556396484, -11.048337936401367, -1.030954360961914, -5.921329498291016, -14.169412612915039, -11.735208511352539, -10.03978157043457, -7.283841609954834, -3.115499496459961, -12.44637393951416, -11.082275390625]	[-6.646027565002441, -1.6647844314575195, -4.2517499923706055, -7.74623966217041, -4.4250898361206055, -4.6040754318237305, -6.194138050079346, -8.627376556396484, -11.048337936401367, -1.030954360961914, -5.921329498291016, -14.169412612915039, -11.735208511352539, -10.03978157043457, -6.382661819458008, -8.007880210876465, -6.498405456542969, -9.061620712280273, -10.137662887573242]	132.03250122070312	138.19273376464844	6.1602325439453125
8	There is no easy answer to the painful issue of abortion.	is	1			answer	4	{'Number': 'Sing', 'lemma': 'answer'}	NOUN	is	1	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'sent_id': 'en_lines-ud-test-doc5-4814', 'text': 'There is no easy answer to the painful issue of abortion.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	'm	3 -> 1	There	There 'm no easy answer to the painful issue of abortion.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-2.118350028991699, -0.4522571563720703, -7.612254619598389, -4.259233474731445, -0.9054164886474609, -2.353046417236328, -12.746153831481934, -3.4189958572387695, -0.6866512298583984, -10.114824295043945, -12.54721450805664]	[-9.977790832519531, -9.844282150268555, -3.3031463623046875, -7.899875640869141, -4.142498016357422, -1.656855583190918, -2.773736000061035, -13.147516250610352, -3.3461761474609375, -1.2540006637573242, -10.175168991088867, -12.105741500854492]	57.21440124511719	79.62679290771484	22.412391662597656
9	how much is a flight from washington to boston	is	2			flight	4	{'Number': 'Sing', 'lemma': 'flight'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	-2	[]	{'sent_id': '2930.train', 'text': 'how much is a flight from washington to boston', 'treebank': 'UD_English-Atis/en_atis-ud-train.conllu'}	'm	3 -> 1	how much	how much 'm a flight from washington to boston	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-5.812973976135254, -4.8813581466674805, -4.428005695343018, -9.23902702331543, -4.888302803039551, -13.72114086151123, -15.778375625610352, -5.024341583251953, -9.212435722351074, -10.097562789916992]	[-5.812973976135254, -10.175479888916016, -7.6085734367370605, -7.704817771911621, -8.710525512695312, -4.866151809692383, -14.145286560058594, -14.827521324157715, -5.723328590393066, -9.535798072814941, -9.953157424926758]	83.08352661132812	99.06361389160156	15.980087280273438
10	But here is a mushroom that's past its prime.	is	2			mushroom	4	{'Number': 'Sing', 'lemma': 'mushroom'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-2	[]	"{'sent_id': 'en_partut-ud-892', 'text': ""But here is a mushroom that's past its prime."", 'treebank': 'UD_English-ParTUT/en_partut-ud-dev.conllu'}"	am	3 -> 1	But here	But here am a mushroom that's past its prime.	[]	[]	0	0	0	False	False	False	0.0214285714285714	SV-P	eng	3	1	VS	verb	+	[-6.549727439880371, -1.846658706665039, -1.6818065643310547, -10.143278121948242, -2.2722158432006836, -1.869119644165039, -8.764270782470703, -5.725430488586426, -8.112190246582031, -10.443854331970215]	[-6.549727439880371, -8.039052963256836, -7.117978572845459, -9.88035774230957, -2.840688705444336, -2.3103866577148438, -8.519346237182617, -5.82902193069458, -7.9688262939453125, -10.172122955322266]	57.40855407714844	69.2275161743164	11.818962097167969
